country,2013,2014,2015,2016,2017,2018,sum
Nigeria,3170,9690,17755,26550,24950,5140,87255
Gambia,1700,8490,7975,8845,8705,1630,37345
Mali,1715,9760,5425,6305,7495,2020,32720
Senegal,990,4660,6340,7550,8295,2445,30280
Cte d'Ivoire,235,1480,3080,7435,8380,1630,22240
Guinea,155,935,1675,6040,7795,1410,18010
Eritrea,2090,475,695,7395,6370,905,17930
Ghana,480,2100,3620,4480,4990,910,16580
Somalia,2760,805,720,2385,2010,625,9305
Morocco,305,310,575,1545,1860,1730,6325
Cameroon,70,185,330,1985,1995,450,5015
Egypt,905,680,560,775,810,670,4400
Guinea-Bissau,115,410,655,725,915,190,3010
Tunisia,500,465,295,330,445,920,2955
Burkina Faso,70,285,410,820,900,185,2670
Sierra Leone,60,185,170,620,1105,210,2350
Togo,90,200,295,630,680,95,1990
Sudan,145,215,145,500,490,265,1760
Libya,50,100,270,360,485,310,1575
Ethiopia,295,105,95,360,270,135,1260
Niger,35,100,145,295,460,100,1135
Liberia,35,55,90,290,345,80,895
Algeria,135,105,165,90,145,160,800
Benin,20,95,165,265,205,50,800
"Congo, Democratic Republic of the",65,85,115,140,125,65,595
Congo,30,65,70,120,115,0,400
Mauritania,65,75,90,55,55,15,355
Chad,10,35,45,95,120,30,335
Central African Republic,0,45,20,55,40,5,165
Kenya,20,10,30,20,30,30,140
Gabon,10,15,10,15,20,5,75
Uganda,5,20,10,15,15,10,75
Comoros,0,0,0,15,30,15,60
"Tanzania, United Republic of",5,10,10,10,10,5,50
South Sudan,0,5,0,10,20,10,45
Mauritius,0,5,5,10,5,15,40
Equatorial Guinea,0,15,5,10,5,0,35
Madagascar,5,10,5,0,5,10,35
Angola,0,5,0,5,15,5,30
Burundi,0,0,5,10,10,5,30
Rwanda,0,5,5,5,5,0,20
Zimbabwe,5,0,0,0,10,5,20
South Africa,0,0,0,5,5,5,15
Cabo Verde,0,0,5,0,0,5,10
Eswatini,0,5,5,0,0,0,10
Namibia,0,5,0,5,0,0,10
Botswana,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0
Africa,25720,63655,82830,121185,126560,49165,469115
